央视频道,#genre#
新疆卫视 4M 576,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226953/index.m3u8?fmt=ts2hls
西藏卫视 4M 576,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226951/index.m3u8?fmt=ts2hls
内蒙古卫视 4M 576,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226981/index.m3u8?fmt=ts2hls

河南频道,#genre#
河南新闻 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226915/index.m3u8?fmt=ts2hls
河南都市 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226911/index.m3u8?fmt=ts2hls
河南公共 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226946/index.m3u8?fmt=ts2hls
河南民生 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226913/index.m3u8?fmt=ts2hls
河南乡村 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226948/index.m3u8?fmt=ts2hls
河南国际 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226925/index.m3u8?fmt=ts2hls
河南法制 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226940/index.m3u8?fmt=ts2hls
河南电视剧 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226942/index.m3u8?fmt=ts2hls
河南移动电视 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226872/index.m3u8?fmt=ts2hls
河南欢腾购物 8M 1080 5:4,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226980/index.m3u8?fmt=ts2hls
河南欢腾购物 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227137/index.m3u8?fmt=ts2hls
郑州新闻综合 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226949/index.m3u8?fmt=ts2hls
郑州商都频道 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226955/index.m3u8?fmt=ts2hls
郑州文体旅游 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226996/index.m3u8?fmt=ts2hls
郑州影视戏曲 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227000/index.m3u8?fmt=ts2hls
郑州妇女儿童 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227050/index.m3u8?fmt=ts2hls
郑州都市生活 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227021/index.m3u8?fmt=ts2hls
开封新闻综合 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227046/index.m3u8?fmt=ts2hls
开封文化旅游 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227019/index.m3u8?fmt=ts2hls
洛阳新闻综合 4M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227017/index.m3u8?fmt=ts2hls
洛阳科教频道 4M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227015/index.m3u8?fmt=ts2hls
洛阳文旅频道 4M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227013/index.m3u8?fmt=ts2hls
周口新闻综合 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227026/index.m3u8?fmt=ts2hls
周口公共频道 8M 1080,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227024/index.m3u8?fmt=ts2hls
