央视高清,#genre#
南京十八,http://ott.mobaibox.com/PLTV/3/224/3221227178/index.m3u8
南京教科,http://ott.mobaibox.com/PLTV/3/224/3221227194/index.m3u8
南京影视,http://ott.mobaibox.com/PLTV/3/224/3221227719/index.m3u8
南京少儿,http://ott.mobaibox.com/PLTV/3/224/3221227733/index.m3u8
南京生活,http://ott.mobaibox.com/PLTV/3/224/3221227786/index.m3u8
镇江新闻频道,http://ott.mobaibox.com/PLTV/3/224/3221228246/index.m3u8
镇江民生频道,http://ott.mobaibox.com/PLTV/3/224/3221227325/index.m3u8
镇江资讯频道,http://ott.mobaibox.com/PLTV/3/224/3221228208/index.m3u8
常州新闻频道,http://ott.mobaibox.com/PLTV/3/224/3221227752/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227899/index.m3u8
常州都市频道,http://ott.mobaibox.com/PLTV/3/224/3221227755/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227955/index.m3u8
常州生活频道,http://ott.mobaibox.com/PLTV/3/224/3221227816/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227902/index.m3u8
常州公共频道,http://ott.mobaibox.com/PLTV/3/224/3221227772/index.m3u8#http://ott.mobaibox.com/PLTV/3/224/3221227905/index.m3u8
苏州新闻频道,http://ott.mobaibox.com/PLTV/3/224/3221228103/index.m3u8
扬州新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221228117/index.m3u8
扬州城市频道,http://ott.mobaibox.com/PLTV/3/224/3221228205/index.m3u8
扬州生活频道,http://ott.mobaibox.com/PLTV/3/224/3221227867/index.m3u8
泰州新闻综合频道,http://ott.mobaibox.com/PLTV/3/224/3221228209/index.m3u8
泰州经济生活频道,http://ott.mobaibox.com/PLTV/3/224/3221228212/index.m3u8
泰州影视娱乐频道,http://ott.mobaibox.com/PLTV/3/224/3221228100/index.m3u8
徐州新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221225945/index.m3u8
徐州经济生活,http://ott.mobaibox.com/PLTV/3/224/3221225947/index.m3u8
徐州文艺影视,http://ott.mobaibox.com/PLTV/3/224/3221225949/index.m3u8
徐州公共频道,http://ott.mobaibox.com/PLTV/3/224/3221225951/index.m3u8
盐城1,http://ott.mobaibox.com/PLTV/3/224/3221228435/index.m3u8
盐城2,http://ott.mobaibox.com/PLTV/3/224/3221228433/index.m3u8
盐城3,http://ott.mobaibox.com/PLTV/3/224/3221228436/index.m3u8
连云港新闻,http://ott.mobaibox.com/PLTV/3/224/3221227758/index.m3u8
连云港公共,http://ott.mobaibox.com/PLTV/3/224/3221228317/index.m3u8
宿迁综合频道,http://ott.mobaibox.com/PLTV/3/224/3221226944/index.m3u8
宿迁公共频道,http://ott.mobaibox.com/PLTV/3/224/3221226939/index.m3u8
淮安新闻频道,http://ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
沛县新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221227678/index.m3u8
沛县经济生活,http://ott.mobaibox.com/PLTV/3/224/3221227611/index.m3u8
沛县文艺影视,http://ott.mobaibox.com/PLTV/3/224/3221227681/index.m3u8
睢宁综合,http://ott.mobaibox.com/PLTV/3/224/3221227706/index.m3u8
睢宁资讯,http://ott.mobaibox.com/PLTV/3/224/3221227712/index.m3u8
睢宁生活,http://ott.mobaibox.com/PLTV/3/224/3221227701/index.m3u8
睢宁三农,http://ott.mobaibox.com/PLTV/3/224/3221227709/index.m3u8
邳州综合频道,http://ott.mobaibox.com/PLTV/3/224/3221227576/index.m3u8
邳州综艺频道,http://ott.mobaibox.com/PLTV/3/224/3221227573/index.m3u8
宝应新闻频道,http://ott.mobaibox.com/PLTV/3/224/3221228007/index.m3u8
宝应生活频道,http://ott.mobaibox.com/PLTV/3/224/3221228039/index.m3u8
新沂1,http://ott.mobaibox.com/PLTV/3/224/3221227289/index.m3u8
新沂2,http://ott.mobaibox.com/PLTV/3/224/3221227311/index.m3u8
铜山1,http://ott.mobaibox.com/PLTV/3/224/3221228152/index.m3u8
铜山2,http://ott.mobaibox.com/PLTV/3/224/3221228081/index.m3u8
泗洪综合,http://ott.mobaibox.com/PLTV/3/224/3221228521/index.m3u8
赣榆,http://ott.mobaibox.com/PLTV/3/224/3221227503/index.m3u8
崇川,http://ott.mobaibox.com/PLTV/3/224/3221228533/index.m3u8
东海新闻频道,http://ott.mobaibox.com/PLTV/3/224/3221226392/index.m3u8
仪征电视台,http://ott.mobaibox.com/PLTV/3/224/3221227702/index.m3u8
